trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
"1_23733751^N+",05:28:00,05:28:00,1715,0,"FRANOWO",0,1
"1_23733751^N+",05:29:00,05:29:00,1712,1,"FRANOWO",0,0
"1_23733751^N+",05:30:00,05:30:00,2992,2,"FRANOWO",0,0
"1_23733751^N+",05:31:00,05:31:00,1708,3,"FRANOWO",0,0
"1_23733751^N+",05:32:00,05:32:00,1709,4,"FRANOWO",0,0
"1_23733751^N+",05:33:00,05:33:00,81,5,"FRANOWO",0,0
"1_23733751^N+",05:34:00,05:34:00,79,6,"FRANOWO",0,0
"1_23733751^N+",05:35:00,05:35:00,77,7,"FRANOWO",0,0
"1_23733751^N+",05:36:00,05:36:00,76,8,"FRANOWO",0,0
"1_23733751^N+",05:37:00,05:37:00,73,9,"FRANOWO",0,0
"1_23733751^N+",05:39:00,05:39:00,4479,10,"FRANOWO",0,0
"1_23733751^N+",05:41:00,05:41:00,102,11,"FRANOWO",0,0
"1_23733751^N+",05:42:00,05:42:00,99,12,"FRANOWO",0,0
"1_23733751^N+",05:44:00,05:44:00,94,13,"FRANOWO",0,0
"1_23733751^N+",05:45:00,05:45:00,103,14,"FRANOWO",0,0
"1_23733751^N+",05:47:00,05:47:00,105,15,"FRANOWO",0,0
"1_23733751^N+",05:48:00,05:48:00,187,16,"FRANOWO",0,0
"1_23733751^N+",05:50:00,05:50:00,183,17,"FRANOWO",0,0
"1_23733751^N+",05:52:00,05:52:00,235,18,"FRANOWO",0,0
"1_23733751^N+",05:53:00,05:53:00,237,19,"FRANOWO",0,0
"1_23733751^N+",05:55:00,05:55:00,201,20,"FRANOWO",0,0
"1_23733751^N+",05:57:00,05:57:00,204,21,"FRANOWO",0,0
"1_23733751^N+",05:58:00,05:58:00,206,22,"FRANOWO",0,0
"1_23733751^N+",05:59:00,05:59:00,208,23,"FRANOWO",0,0
"1_23733751^N+",06:01:00,06:01:00,210,24,"FRANOWO",0,0
"1_23733751^N+",06:03:00,06:03:00,3037,25,"FRANOWO",0,0
"1_23733751^N+",06:04:00,06:04:00,3013,26,"FRANOWO",0,0
"1_23733751^N+",06:05:00,06:05:00,217,27,"FRANOWO",0,0
"1_23733751^N+",06:06:00,06:06:00,220,28,"FRANOWO",0,0
"1_23733751^N+",06:07:00,06:07:00,1,29,"FRANOWO",1,0
